ano,valor,pais,codigo_pais,indicador,categoria
2023,13942114198.8828,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,13654715740.4529,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,14468113825.809,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,13781988139.5961,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,16334853784.0603,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,15410405365.47,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,17455327770.6619,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,23672191989.4347,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,23790543425.2351,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,27032344084.4907,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,31500815461.6599,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,31161778888.6797,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,27039761554.085,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,19678661657.2159,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,13664098153.6474,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,17869411576.4837,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,11196800894.0338,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,8149079645.64961,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,3196850749.33725,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,1379588147.35472,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,634199422.3308,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,375545950.307129,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,731866198.100655,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,1198212373.02401,Angola,AO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
