ano,valor,pais,codigo_pais,indicador,categoria
2023,364367020.196401,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,396505745.512243,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,367511735.686638,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,221808945.85044,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,279133212.713698,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,328659747.502549,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,313645370.808951,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,330090979.265027,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,355728253.383608,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,297046137.541925,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,202580586.969295,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,162045101.996445,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,147868733.577765,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,136600155.264423,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,127860399.429427,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,138022502.557881,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,143848808.510004,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,142632588.752235,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,127320746.176333,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,120139161.912642,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,113767366.731074,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,87648341.4624844,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,79718831.0402204,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,63558884.5284907,Antigua and Barbuda,AG,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
