ano,valor,pais,codigo_pais,indicador,categoria
2023,240792007784.254,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,242415618842.022,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,244280333397.895,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,224236417867.711,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,189006435295.488,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,166483400196.79,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,156322431109.247,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,145866068770.183,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,138198984338.294,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,143977104333.434,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,145161108178.662,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,184521825603.75,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,168490291143.589,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,165852088071.189,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,131785833333.227,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,103306201680.133,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,115487080914.377,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,98239163382.5086,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,74359915676.4761,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,77353273268.9503,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,70762382918.7419,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,61696755317.4323,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,58637344263.961,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,63728079967.5087,France,FR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
