ano,valor,pais,codigo_pais,indicador,categoria
2023,5002255638.46392,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,4886343005.58234,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,4270945063.01792,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,3913274194.81288,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,3505823162.30974,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,3289463516.7195,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,3038762324.25157,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,2756383662.9152,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,2520721328.46961,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,2699169280.07028,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,2823383516.08606,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,2872949024.40383,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,2818191101.12737,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,2263794873.28055,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,2110323626.28935,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,1480157559.2564,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,1361156503.59962,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,930833393.916797,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,478637800.597655,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,386676416.886773,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,196198029.710394,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,202176074.067156,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,161941585.492552,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,115965903.57973,Georgia,GE,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
