ano,valor,pais,codigo_pais,indicador,categoria
2023,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,,Guam,GU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
