ano,valor,pais,codigo_pais,indicador,categoria
2023,45718623573.4135,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,41218685384.2451,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,43483375179.1178,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,41349416012.5512,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,31831003374.707,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,31366581856.0416,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,28002680652.4484,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,25824253667.337,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,33124288325.6273,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,42019881301.2031,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,46508013997.58,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,44670620404.4239,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,48831918088.5214,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,44988182851.216,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,44181292716.986,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,33873898857.8996,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,24052210871.1505,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,21589904536.919,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,18602833677.5891,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,15965389147.5829,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,12793544668.5651,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,10383091414.6763,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,10755092580.6117,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,11217315165.5179,Hungary,HU,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
