ano,valor,pais,codigo_pais,indicador,categoria
2023,92427294786.8624,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,86683417844.2693,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,82262074686.351,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,79656428064.8913,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,84663589516.8684,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,85335649782.1665,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,79417877682.1686,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,70191441968.8814,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,77649594284.0862,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,93615450486.7895,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,119714241460.03,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,124647554175.811,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,110538560730.736,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,106144249630.96,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,103753849656.653,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,96334974982.7632,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,83259979623.8923,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,62228722605.3908,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,41879958087.0983,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,27714111996.5342,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,21513345090.3657,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,15892271986.3199,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,16079034167.688,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,13729870472.1936,Libya,LY,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
