ano,valor,pais,codigo_pais,indicador,categoria
2023,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,,Liechtenstein,LI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
