ano,valor,pais,codigo_pais,indicador,categoria
2023,4405117005.00662,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,1896231717.15846,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,3136991506.34787,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,5663994385.32784,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,7648305273.42442,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,6920825566.09992,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,7959047614.93675,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,6008199165.17799,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,7302096590.22385,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,8210750127.74159,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,7500000871.53903,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,7106460348.66884,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,6739196545.08981,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,7195358507.00001,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,5353610216.22721,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,2616559583.33783,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,3518418228.00438,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,2832098098.88232,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,2734967767.26121,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,2204868879.49586,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,2333781502.23926,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,1705155736.72707,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,1357451866.36814,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,1131355289.18666,Sri Lanka,LK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
