ano,valor,pais,codigo_pais,indicador,categoria
2023,6168341355.74637,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,5365254190.36888,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,5579844284.24645,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,4846519049.92043,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,5085045225.2078,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,5770956096.50459,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,4449678813.3316,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,2599864854.6003,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,1697150153.84852,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,8729460563.48084,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,8072525980.62758,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,8529340677.06854,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,8201664834.38474,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,6598353673.96233,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,6623187500.76033,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,6442845969.40104,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,7711952180.98187,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,5772525484.49407,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,3815556164.65712,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,3593962685.5297,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,3449667625.09856,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,2413140713.55608,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,1669177340.95004,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,1362679200.14878,Lithuania,LT,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
