ano,valor,pais,codigo_pais,indicador,categoria
2023,5014981540.03403,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,4120124979.25763,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,4129287737.28112,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,4126254083.78,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,3650514750.41521,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,3284003546.93106,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,2801853318.34827,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,2751929520.8021,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,2470701359.60007,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,2964236411.99583,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,2747604655.47163,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,2891478810.61011,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,2667393348.62602,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,2276767089.7281,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,2288279742.85335,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,2110178285.64156,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,2264233635.6536,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,1889352310.43791,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,1340486932.46754,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,991429584.921662,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,934744444.052249,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,789942743.503613,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,798842469.930248,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,460208291.007042,North Macedonia,MK,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
