ano,valor,pais,codigo_pais,indicador,categoria
2023,4915514836.40429,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,3398458522.32196,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,4380126028.64883,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,4545276809.36506,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,4363699115.81581,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,3549666961.87949,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,3016698322.08149,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,1304052963.0909,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,1322495172.72512,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,1651791011.42218,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,2247857983.84785,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,4125992250.74685,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,2447811909.14304,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,2287769451.70851,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,1327038037.27796,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,656677378.546504,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,1001846766.06474,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,719617928.6269,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,333150649.734728,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,207833968.241407,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,203558127.168395,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,267337072.582122,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,206545596.96037,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,202077115.561911,Mongolia,MN,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
