ano,valor,pais,codigo_pais,indicador,categoria
2023,,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,2038562789.40175,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,1493184646.02741,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,1028702420.51919,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,934291833.830821,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,873822720.854328,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,848467104.487379,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,822269358.346095,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,635387343.480939,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,997902480.460926,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,968635710.793157,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,502324710.555567,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,287851716.196257,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,237857971.083112,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,198598074.427061,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,207413837.520998,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,194495586.06378,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,70367752.9793491,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,38764016.7291556,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,31821258.3001081,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,74083411.0217224,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,39833320.3715736,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,49402252.9554015,Mauritania,MR,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
