ano,valor,pais,codigo_pais,indicador,categoria
2023,5446998877.80189,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,4404430742.32312,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,4046556203.71439,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,3211903361.95717,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,2397444668.92872,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,2261143360.12993,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,2757785586.66498,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,2447771381.81086,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,2492262791.93881,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,2276176780.7117,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,1992960773.02599,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,1887214938.20452,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,1892248423.80235,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,1798981293.19797,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,1573082251.39172,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,1140842519.60378,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,1103322447.10909,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,921891810.938807,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,727807750.907584,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,668198634.906633,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,508236348.462427,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,453205838.918311,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,384021946.51415,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,492485081.971073,Nicaragua,NI,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
