ano,valor,pais,codigo_pais,indicador,categoria
2023,80459096008.3425,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,72077375478.9291,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,84270941751.0846,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,75258813465.0281,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,66946037549.8517,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,63145471060.2407,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,65923863904.4306,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,60445172369.6599,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,57455936481.5608,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,64800723856.6031,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,58283142155.4752,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,51856399587.6549,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,49397087253.2418,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,53215083706.0825,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,48859300062.3353,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,50949819414.8049,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,60839629829.3958,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,56841568846.0479,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,46985905052.1739,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,44307531918.0843,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,37712335260.0565,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,32404966342.7747,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,23604634336.1791,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,27922060281.5661,Norway,NO,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
