ano,valor,pais,codigo_pais,indicador,categoria
2023,51538727785.639,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,47389335669.7513,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,42212542110.0839,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,40972506521.4797,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,39718464943.2827,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,30358280804.0766,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,15007730964.8132,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,31887349772.9792,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,37257529105.0352,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,43215459717.5334,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,42082172537.965,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,33185072530.0802,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,16809490742.533,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,31181698262.5165,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,18803758797.5506,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,9996578243.98446,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,9749045696.11503,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,5394808792.02756,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,4552170762.09192,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,3414202840.55407,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,2952140936.48056,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,1573357086.57437,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,1317979112.40082,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,1163240534.55416,Qatar,QA,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
