ano,valor,pais,codigo_pais,indicador,categoria
2023,3303825209.68631,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2022,3847356746.4018,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2021,2498779540.05517,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2020,2238305810.05378,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2019,1466304531.22901,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2018,1284070863.38126,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2017,1291955730.80213,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2016,644763434.415511,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2015,493391433.036105,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2014,512645031.16602,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2013,661311872.523759,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2012,630690451.23968,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2011,518942135.239755,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2010,403106833.866534,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2009,254940310.793792,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2008,163514355.01099,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2007,85217536.0208877,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2006,203823197.160821,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2005,188914218.257725,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2004,172081994.761396,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2003,117567950.058852,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2002,89508809.9390934,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2001,94282905.7069105,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
2000,94280831.9251688,Tajikistan,TJ,FI.RES.TOTL.CD,"Economy & Growth, Financial Sector , External Debt"
