ano,valor,pais,codigo_pais,indicador,categoria
2000,75917.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2001,78193.6,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2002,80470.2,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2003,82746.8,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2004,85023.4,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2005,87300.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2006,90289.2,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2007,93278.4,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2008,96267.6,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2009,99256.8,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2010,102246.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2011,158269.8,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2012,214293.6,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2013,270317.4,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2014,326341.2,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2015,382365.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2016,382365.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2017,382365.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2018,382365.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2019,382365.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2020,382365.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2021,382365.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2022,382365.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2023,382365.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2024,382365.0,Afghanistan,AF,SM.POP.TOTL,"Financial Sector , Health "
2000,76695.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2001,74303.8,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2002,71912.6,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2003,69521.4,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2004,67130.2,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2005,64739.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2006,62348.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2007,59957.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2008,57566.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2009,55175.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2010,52784.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2011,53750.4,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2012,54716.8,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2013,55683.2,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2014,56649.6,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2015,57616.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2016,57616.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2017,57616.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2018,57616.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2019,57616.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2020,57616.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2021,57616.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2022,57616.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2023,57616.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2024,57616.0,Albania,AL,SM.POP.TOTL,"Financial Sector , Health "
2000,250110.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2001,249595.4,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2002,249080.8,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2003,248566.2,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2004,248051.6,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2005,247537.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2006,247022.4,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2007,246507.8,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2008,245993.2,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2009,245478.6,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2010,244964.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2011,244449.4,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2012,243934.8,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2013,243420.2,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2014,242905.6,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2015,242391.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2016,242391.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2017,242391.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2018,242391.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2019,242391.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2020,242391.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2021,242391.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2022,242391.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2023,242391.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2024,242391.0,Algeria,DZ,SM.POP.TOTL,"Financial Sector , Health "
2000,24912.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2001,24776.2,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2002,24640.4,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2003,24504.6,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2004,24368.8,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2005,24233.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2006,24097.4,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2007,23961.8,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2008,23826.2,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2009,23690.6,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2010,23555.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2011,23487.2,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2012,23419.4,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2013,23351.6,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2014,23283.8,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2015,23216.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2016,23216.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2017,23216.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2018,23216.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2019,23216.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2020,23216.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2021,23216.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2022,23216.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2023,23216.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2024,23216.0,American Samoa,AS,SM.POP.TOTL,"Financial Sector , Health "
2000,42146.0,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2001,43776.4,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2002,45406.8,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2003,47037.2,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2004,48667.6,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2005,50298.0,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2006,50649.0,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2007,51000.0,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2008,51351.0,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2009,51702.0,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2010,52053.0,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2011,50058.8,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2012,48064.6,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2013,46070.4,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2014,44076.2,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2015,42082.0,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2016,42082.0,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
2017,42082.0,Andorra,AD,SM.POP.TOTL,"Financial Sector , Health "
